編號	題名	型式	朝代	作者	內容
519	月夜		唐	杜甫	今夜鄜州月，閨中只獨看。遙憐小兒女，未解憶長安。香霧雲鬟濕，清輝玉臂寒。何時倚虛幌？雙照淚痕乾。
520	春宿左省		唐	杜甫	花隱掖垣暮，啾啾棲鳥過。星臨萬戶動，月傍九霄多。不寢聽金鑰，因風想玉珂。明朝有封事，數問夜如何？
521	天末懷李白		唐	杜甫	涼風起天末，君子意如何？鴻鴈幾時到，江湖秋水多。文章憎命達，魑魅喜人過。應共冤魂語，投詩贈汨羅。
522	奉濟驛重送嚴公四韻		唐	杜甫	遠送從此別，青山空復情。幾時盃重把？昨夜月同行。列郡謳歌惜，三朝出入榮。江村獨歸處，寂寞養殘生。
523	別房太尉墓		唐	杜甫	他鄉復行役，駐馬別孤墳。近淚無乾土，低空有斸雲。對棋陪謝傅，把劍覓徐君。惟見林花落，鶯啼送客聞。
524	旅夜書懷		唐	杜甫	細草微風岸，危檣獨夜舟。星隨平野闊，月湧大江流。名豈文章著？官應老病休。飄飄何所似？天地一沙鷗。
525	終南山		唐	王維	太乙近天都，連山到海隅。白雲迴望合，青靄入看無。分野中峰變，陰晴眾壑殊。欲投人處宿，隔水問樵夫。
526	酬張少府		唐	王維	晚年惟好靜，萬事不關心。自顧無長策，空知返舊林。松風吹解帶，山月照彈琴。君問窮通理，漁歌入浦深。
527	送梓州李使君		唐	王維	萬壑樹參天，千山響杜鵑。山中一夜雨，樹杪百重泉。漢女輸撞布，巴人訟芋田。文翁翻教授，不敢倚先賢。
528	漢江臨眺		唐	王維	楚塞三湘接，荊門九派通。江流大地外，山色有無中。郡邑浮前浦，波瀾動遠空。襄陽好風日，留醉與山翁。
529	臨洞庭上張丞相		唐	孟浩然	八月湖水平，涵虛混太清。氣蒸雲夢澤，波撼岳陽城。欲濟無舟楫，端居恥聖明。坐觀垂釣者，徒有羨魚情。
530	與諸子登峴山		唐	孟浩然	人事有代謝，往來成古今。江山留勝跡，我輩復登臨。水落魚梁淺，天寒夢澤深。羊公碑尚在，讀罷淚沾巾。
531	宴梅道士山房		唐	孟浩然	林臥愁春盡，搴帷覽物華。忽逄青鳥使，邀入赤松家。金灶初開火，仙桃正發花。童顏若可駐，何惜醉流霞。
532	歲暮歸南山		唐	孟浩然	北闕休上書，南山歸敝廬。不才明主棄，多病故人疏。白髮催年老，青陽逼歲除。永懷愁不寐，松月夜窗虛。
533	過故人莊		唐	孟浩然	故人具雞黍，邀我至田家。綠樹村邊合，青山郭外斜。開軒面場圃，把酒話桑麻。待到重陽日，還來就菊花。
534	秦中寄遠上人		唐	孟浩然	一邱嘗欲臥，三徑苦無資。北土非吾願，東林懷我師。黃金燃桂盡，壯志逐年衰。日夕涼風至，聞蟬但益悲。
535	訴衷情		宋	陸游	當年萬里覓封侯，匹馬戍梁州。關河夢斷何處？塵暗舊貂裘。胡未滅，鬢先秋。淚空流。此生誰料心在天山，身老滄洲？
536	兒歌		清	鄭板橋	二月賣新絲，五月糶新穀。醫得眼前瘡，剜卻心頭肉。耕苗日正午，汗滴禾下土。誰知盤中飧，粒粒皆辛苦。昨日入城市，歸來淚滿巾。遍身羅綺者，不是養蠶人。九九八十一，窮漢受罪畢。纔得放腳眠，蚊蟲猲蚤出。
537	禪詩			如琰禪師	幾年鏖戰歷沙場，汗馬功高孰可量；四海狼煙今已息，踏花歸去馬蹄香。
538	禪詩	詩		清谿禪師	世人休說路行難，鳥道羊腸咫尺間；珍重苧谿谿畔水，汝歸滄海我歸山。
539	寒山拾得	佳文			寒山問拾得：「世間謗我、欺我、辱我、笑我、輕我、賤我、厭我、騙我、如何處治？」；拾得曰：「只是忍他、讓他、由他、避他、耐他、敬他、不要理他，再過幾年，看他如何？」
540	禪詩	詩	唐	白居易	蝸牛角上爭何事，石火光中寄此身；隨富隨貧且歡樂，不開口笑是癡人。
541	偈				心安芧屋穩，性定菜根香；世事靜方見，人情淡始長。
542	禪語				兩袖一甩，清風明月；仰天一笑，快意平生；布履一雙，山河自在。
543	禪詩	詩		茶陵郁	我有明珠一顆，久被塵勞關瑣；一朝塵盡光生，照破山河萬朵。
544	禪詩			寒山禪師	吾心似秋月，碧潭清皎潔；無物堪比倫，更與何人說！
545	經魯祭孔子而歎之		唐	唐玄宗	夫子何為者？栖栖一代中。地猶鄹氏邑，宅即魯王宮。歎鳳嗟身否，傷麟怨道窮。今看兩盈楹奠，當與夢時同。
546	浪淘沙		宋	歐陽修	把酒祝東風，且共從容。垂楊紫陌洛城東，總是當時攜手處，遊遍芳叢。聚散苦匆匆，此恨無窮！今年花勝去年紅，可惜明年花更好，知與誰同？
547	清平樂		五代	李煜	別來春半，觸目愁腸斷；砌下落梅如亂，拂了一身還滿。雁來音信無憑，路遙歸夢難成；離恨恰如春草，更行漸遠還生。
548	山中聞杜鵑		宋	洪炎	山中二月聞杜鷳，百草爭芳已消歇。綠陰初不待薰，啼鳥區區自流血。北窗移燈欲三更，南山高林時一聲。言歸汝亦無歸處，何用多言傷我情！
549	春夢了無痕	詩	宋	蘇軾	東風未肯入東門，走馬還尋去歲村；人似秋鴻來有信，事如春夢了無痕。江城白酒三杯釅，野老蒼顏一笑溫；已約年年為此會，故人不用賦招魂。
550	賀新郎 (別茂嘉十二弟)		宋	辛棄疾	綠樹聽鵜鴃，更那堪，鷓鴣聲住，杜鵑聲切。啼到春歸無尋處，苦恨芳菲都歇；算未抵人間離別；馬上琵琶關塞黑，更長門翠輦辭金闕：看燕燕，送歸妾。將軍百戰身名裂，向河梁回頭萬里，故人長絕；易水蕭蕭西風冷，滿座衣冠似雪，正壯士悲歌未徹。啼鳥還知如許恨，料不啼清淚長啼血；誰共我，醉明月？
551	詩經				昔我往矣，楊柳依依；今我來思，兩雪霏霏。行道遲遲，載渴載飢。我心傷悲，莫知我哀！
552	玉樓春		宋	歐陽修	尊前擬把歸期說，未語春容先慘咽。人生自是有情痴，此恨不關風與月。離歌且莫翻新闋，一曲能教腸寸結。直須看盡洛城花，始共春風容易別。
553	攤破 浣溪沙		清	納蘭性德	風絮飄殘已化萍，泥蓮剛倩藕絲縈；珍重別拈香一瓣，記前生。人到情多情轉薄，而今真個不多情；又到斷腸回首處，淚偷零。
554	千秋歲		宋	張先	數聲鶗鴃，又報芳菲歇，惜春更選殘紅折。兩輕風色暴，梅子青時節。永豐柳，無人盡日花飛雪。莫把ㄠ絃撥，怨極絃能能說。天不老，情難絕；心似雙絲網，中有千千結。夜過也，木窗未白孤燈滅。
555	木蘭花		宋	晏殊	綠楊芳草長亭路，年少拋人容易去；樓頭殘夢五更鐘，花底離愁三月雨。無情不似多情苦，一寸還成千萬縷；天涯地角有窮時，只有相思無盡處！
556	生查子	詩 歌詞	宋	朱淑真;鄧麗君 唱	去年元夜時，花市燈如晝；月上柳梢頭，人約黃昏後。今年元夜時，月與燈依舊；不見去年人，淚滿春衫袖。
557	結愛		唐	孟郊	心心復心心，結愛務在深。一度欲離別，千回結衣襟。結妾獨守志，結君早歸意。始知結衣裳，不如結心腸。坐結行亦結，結百年月。
558	集俗語竹枝詞		清	繆良	巧妻常伴拙夫眠，千里姻綠使線牽；世事都從愁裏過，月如無恨月常圓。
559	折桂令 (春情)		元	徐再思	平生不會相思，才會相思，便害相思。身似浮雲，心如飛絮，氣若游絲。空一縷餘香在此，盼千金遊子何之；證候來時，正是何時？燈半昏時，月半明時。
560	聲聲慢		宋	李清照	尋尋覓覓，冷冷清清，悽悽慘慘戚戚。作暖還寒時候，最難將息。三杯兩盞淡酒，怎敵他晚來風急？雁過也，正傷心，卻是舊時相識。滿地黃花堆積，憔悴損，而今有誰堪摘？守著窗兒，獨自怎生得黑！梧桐更兼細雨，到黃昏，點點滴滴，這次第，怎一個「愁」字了得？
561	留別妻		漢	佚名	結髮為夫妻，恩愛兩不疑；歡娛在今夕，嬿婉及良時。征夫懷遠路，起視夜何其！參辰皆已沒，去去從此辭。行役在戰場，相見未有期；握手一長嘆，淚為生別滋。努力愛華，莫忘歡樂時；生當復來歸，死當長相思！
562	古艷歌		漢	佚名	煢煢白兔，東走西顧；衣不如新，人不如故。
563	蝶戀花		五代	馮延已	幾日行雲何處去？忘了歸來，不道春將暮。百草千花寒食路，香車繫在誰家樹？淚眼倚樓頻獨語，雙燕來時，陌上相逄否？撩亂春愁如柳絮，依依夢裏無尋處。
564	盤中詩		漢	蘇伯玉妻	山樹高，鳥鳴悲。泉水深，鯉魚肥。空倉雀。常苦飢。吏人婦，會夫希。出門望見白衣，謂當是而更非。還入門，中心悲。北上堂，西入階。急機絞，杼聲催。長歎息，當語誰。君有行，妾念之。出有日，還無期。結巾帶，長相思。君忘妾，未知之。妾忘君，罪當治。妾有行，宜知之。黃者金，白者玉。高者山，下者谷。姓者蘇，字伯玉。人才多，知謀足。家居長安身在蜀，何惜馬蹄歸不數。羊肉千斤酒百斛，令君馬肥麥與粟。今時人，知四足。與其書，不能讀。當從中央周四角。
565	江樓感舊		唐	趙嘏	獨上江樓思悄然，月光如水水如天；同來玩月人何在？風景依稀似去年！
566	晝夜樂		宋	柳永	洞房記得初相遇，便只合長相聚；何期小會幽歡，變作別離情緒。況值闌珊春色暮，對滿目亂紅狂絮；直恐好風光，盡隨伊歸去。一場寂寞憑誰訴？算前言總輕負，早知恁地難拌，悔不當初留住。其奈風流端整外，更別有繫人心處。一日不思量，也攢眉千度。
567	鷓鴣天		宋	晏幾道	醉拍春衫惜舊香，天將離恨惱疏狂。年年陌上生秋草，日日樓中到夕陽。雲緲緲，水茫茫，征人歸路許多長。相思本是無憑語，莫向花牋費淚行。
568	一翦梅		宋	李清照	紅藕香殘玉簟秋；輕解羅裳，獨上蘭舟。雲中誰寄錦書來？雁字回時，月滿西樓。花自飄零水自流，一種相思，兩處閒愁。此情無計可消除，才下眉頭，卻上心頭。
569	佚題 (見隨園詩話卷十四)		清	史清溪	多情自古空餘恨，好夢由來最易醒。
570	集杭州俗語詩		清	黃增	色不迷人人自迷，情人眼裏出西施；有緣千里來相會，三笑徒然當一痴。
571	荷葉杯		唐	韋莊	記得那年花下，深夜，初識謝娘時；水堂西面畫簾垂，攜手暗相期。惆悵曉鶯殘月，相別，從此隔音塵。如今俱是異鄉人，相見更無因！
572	唐多令		宋	吳文英	何處合成愁？離人心上秋。縱芭蕉、不雨也颼颼。都道晚涼天氣好，有明月、怕登樓。年事夢中休，花空煙水流。燕辭歸、客尚淹留。垂柳不縈裙帶住，謾長是、繫行舟。
573	我儂詞		元	管道昇	你儂我儂，忒煞情多；情多處，熱如火；把一塊泥，捻一個你，塑一個我，將咱兩個一齊打破，用水調和；再捻一個你，再塑一個我。我泥中有你，你泥中有我；我與你生同一個衾，死同一個槨。
574	月		唐	李商隱	過水穿樓觸處明，藏人帶樹遠含清；初生欲缺虛惆悵，未必圓時即有情。
575	漁家傲		宋	歐陽修	為愛蓮房都一柄，雙苞雙蕊雙紅影；雨勢斷來風色定。秋水靜，仙郎彩女臨鷥影。妾有容華君不省，花無恩愛猶相並，花卻有情人薄倖。心耿耿，因花又染相思病。
576	八六子		宋	秦觀	倚危亭、恨如芳草，萋萋 盡還生。念柳外青驄別後，水邊紅袂分時，愴然暗驚。無端天與娉婷，夜月一簾幽夢，春風十里柔情。怎奈向歡娛，漸隨流水，素絃聲斷，翠綃香減。那堪片片飛花弄晚，濛濛殘雨籠晴。正銷凝，黃鶴又啼數聲。
577	玉樓春	詩 歌詞	宋	歐陽修;鄧麗君 唱	別後不知君遠近，觸目淒涼多少悶；漸行漸遠漸無書，水闊魚沈何處問？夜深風竹敲秋韻，萬葉千聲皆是恨。故欹單枕夢中尋，夢又不成燈又燼。
578	離思		唐	元稹	曾經滄海難為水，除卻巫山不是雲；取次次花叢懶迴顧，半緣修道半緣君。
579	八月		唐	章孝標	徙倚仙居繞翠樓，分明宮漏靜兼秋。長安夜夜家家月，幾處笙歌幾處愁。
580	更漏子		五代	李煜	金雀釵，紅粉面，花裏暫時相見。知我意，感君憐，此情須問天。香作穗，蠟成淚，還似兩人心意。山枕膩，錦衾寒，覺來更漏殘。
581	秦風 ‧ 蒹葭			詩經	蒹葭蒼蒼，白露為霜。所謂伊人，在水一方！溯洄從之，道阻且長。溯游從之，宛在水中央。蒹葭淒淒，白露未晞。所謂伊人，在水之湄。溯洄從之，道阻且躋。溯游從之，宛在水中坻。蒹葭采采，白露未已。所謂伊人，在水之涘。溯洄從之，道阻且右。溯游從之，宛在水中沚。
582	鷓鴣天	詞 歌詞	宋	聶勝瓊;鄧麗君 唱	玉慘花愁出鳳城，蓮花樓下柳青青；樽前一唱陽關曲，別個人兒第幾程？尋好夢，夢難成，有誰知我此時情？枕前淚共階前雨，隔個窗兒滴到明？
583	贈詩		唐	崔郊	公子王孫逐後塵，綠珠垂淚滴羅巾；侯門一入深似海，從此蕭郎是路人。
584	蝶戀花		宋	晏殊	檻菊愁煙蘭泣露，羅幕輕寒，燕子雙飛去。明月不諳離恨苦，斜光到曉穿朱戶。昨夜西風凋碧樹，獨上高樓，望盡天涯路。欲寄彩牋兼尺素，山長水闊知何處？
585	祝英臺近 (晚春)		宋	辛棄疾	寶釵分，桃葉渡，煙柳暗南。怕上層樓，十日九風雨。斷腸片片飛紅，都無人管，更誰勸，啼鶯聲住。鬢邊覷，試把花卜歸期，才簪又重數。羅帳燈昏，哽咽夢中語。是他春帶愁來，春歸何處，欲不解帶。
586	子夜歌		清	黃景仁	思君月正圓，望望月仍缺；多恐再圓時，不是今宵月。
587	浪淘沙		唐	白居易	借問江潮與海水，何似君情與妾心？相恨不如潮有信，相思始覺海非深。
588	燕子樓		唐	盼盼	樓上殘燈伴曉霜，獨眠人起合歡床。相思一夜情多少？地角天涯不是長。
589	三五七言詩		唐	李白	秋風清，秋月明，落葉聚還散，寒鴉棲復驚。相思相見知何日？此時此夜難為情。
590	兩般秋雨盦隨筆		清	梁紹壬	相思欲寄無從寄，畫個圈兒替；話在圈兒外，心在圈兒裏。我密密加圈，你須密密知儂意：單圈兒是我，雙圈兒是你；整圈兒是團圓，破圈兒是別離；還有那說不盡的相思，把一路圈兒圈到底。
591	更漏子		宋	溫庭筠	星斗稀，鐘鼓歇，簾外曉鶯殘月，蘭露重，柳風斜，滿庭堆落花。虛閣上，倚闌望，還似去年惆悵。春欲暮，思無窮，舊歡如夢中！
592	采桑子		宋	呂本中	恨君不似江樓月，南北東西，南北東西，只有相隨無別離。恨君卻似江樓月，暫滿還虧，暫滿還虧，待得團圓是幾時？
593	詩經（周南 ‧ 關睢）		周		關關睢鳩，在河之洲；窈窕淑女，君子好逑。參差荇菜，左右流之；窈窕淑女，寤寐求之。求之不得，寤寐思服；悠哉悠哉，輾轉反側。參差荇菜，左右芼之；窈窕淑女，鐘鼓樂之。
594	蘇慕遮 (懷舊)		宋	范仲淹	碧雲天，黃葉地，秋色連波，波上寒煙翠。山映斜陽天接水，芳草無情，更在斜陽外。黯鄉魂，追旅思，夜夜除非，好夢留人睡。明月樓高休獨倚，酒入愁腸，化作相思淚。
595	入月圓 (春晚次韻)		元	張可久	萋萋芳草春雲亂，愁在夕陽中；短亭別酒，平湖畫舫，垂柳驕驄。一聲啼鳥，一番風雨，一陣東風；桃花吹盡，佳人何在？門掩殘紅。
596	燕歌行		三國	曹丕	秋風蕭瑟天氣涼，草木搖落露為霜，群燕辭鵠歸南翔，念君客遊思斷腸。慊慊思歸戀故鄉，君為淹留寄他方！賤妾煢煢守空房，憂來思君不敢忘，不覺淚下霑衣裳。援琴鳴弦發清商，短歌微吟不能長。明月皎皎照我床，星漢西流夜未央。牽牛織女遙相望，爾獨何辜恨河梁？！
597	長門怨		唐	劉皂	淚滴長門秋夜長，愁心和雨到昭陽。淚痕不學君恩斷，拭卻千行更萬行。
598	望夫石		唐	王建	望夫處，江悠悠。化為石，不回頭。山頭日日風復雨，行人歸來石應語。
599	題拈花微笑圖		明	唐寅	昨夜海棠初著雨，數朵輕盈嬌欲語。佳人曉起出閨房，將來對鏡比紅粧。問郎花好儂顏好？郎道不如花窈窕。佳人見語發嬌嗔，不信死花勝活人！將花揉碎擲郎前，請郎今夜伴花眠。
600	暮秋獨遊曲江		唐	李商隱	荷葉生時春恨生，荷葉枯時秋恨成；深知身在情長在，悵望江頭江水聲。
601	息夫人		唐	王維	莫以今時寵，難忘舊日恩。看花滿眼淚，不共楚王言。
602	子夜歌		唐	王屋	妾心妾自惜，君心君自知；莫將後日情，不如初見時。
603	寄遠		唐	白居易	欲忘忘未得，欲去去無由；兩腋不生翅，二毛空滿頭。坐看新落葉，行上最高樓；晚色無邊際，茫茫盡眼愁。
604	寄遠		唐	杜牧	前山極遠碧雲合，清夜一聲白雪微。欲寄相思千里月，溪邊殘照雨霏霏。
605	江城子		宋	蘇軾	天涯流落思無窮，既相逢，卻匆匆。攜手佳人，和淚抑殘紅。為問東風餘幾許？春縱在，與誰同？隋堤三月水溶溶，背歸鴻，去吳中，回首彭城，清泗與淮通。欲寄相思千點淚，流不到，楚江東。
606	遣悲懷之三		唐	元稹	閒坐悲君亦自悲，百年多是幾多時？鄧攸無子尋知命，潘岳悼亡猶費詞。同穴窅冥何所望？他生緣會更難期；惟將終夜長開眼，報答平生未展眉。
607	寫情		唐	李益	水紋珍簟思悠悠，千里佳期一夕休。從此無心愛良夜，任他明月下西樓。
608	訴衷情		五代	顧敻	永夜拋人何處去？絕來音。香閣掩，眉歛；月將沉，爭忍不相尋？怨孤衾。換我心為你心，始知相憶深。
609	長生殿 ‧ 滿江紅 (上闕)		清	洪昇	今古情場，問誰個真心到底？但果有精誠不散，終成連理。萬里何愁南共北，兩心那論生與死。笑人間兒女悵緣慳，無情耳！
610	沈園		宋	陸游	城上斜陽畫角哀，沈園非復舊池臺；傷心橋下春波綠，曾是驚鴻照影來。
611	離京		清	龔自珍	浩蕩離愁白日斜，吟鞭東指即天涯；落紅不是無情物，化作春泥更護花。
612	紅樓夢 ‧ 枉凝眉		清	曹雪芹	一個是閬苑仙葩，一個是美玉無瑕。若說沒奇緣，今生偏又遇著他；若說有奇緣，如何心事終虛話？一個枉自嗟呀，一個空勞牽掛。一個是水中月，一個是鏡中花。想眼中能有多少淚珠兒，怎禁得秋流到冬，春流到夏！
613	踏莎行		宋	晏殊	碧海無波，瑤臺有路，思量便合雙飛去。當時輕別意中人，山長水遠知何處！綺席凝塵，香閨掩霧，紅牋小字憑誰附？高樓日盡欲黃昏，梧桐葉上瀟瀟雨。
614	西廂記 ‧ 正宮端正好		元	王實甫	碧雲天，黃花地，西風緊，北雁南飛。曉來誰染霜林醉，總是離人淚。
615	夜別筵		唐	元稹	夜長酒闌燈花長，燈花落地復落床；似我別淚三四行，滴君滿坐之衣裳。與君別後淚痕在，年年著衣心莫改。
616	紅樓夢 ‧ 紅豆詞		清	曹雪芹	滴不盡相思血淚拋紅豆；開不完春柳春花滿畫樓；睡不穩紗窗風雨黃昏後；忘不了新愁與舊愁。嚥不下玉粒金波噎滿喉；照不盡菱花鏡裏形容瘦；展不開的眉頭，捱不明更漏。呀！恰便似遮不住的青山隱隱，流不斷的綠水悠悠。
617	琴曲歌辭 ‧ ？梁妻歌		漢		樂莫樂兮新相知，悲莫悲兮生別離。哀感皇天兮城為隳。
618	江陵愁望寄子安		唐	魚玄機	楓葉千枝復萬枝，江橋掩映暮帆遲。憶君心似西江水，日夜東流無歇時。
619	消夏詞		清	季叔蘭	無主荷花開滿堤，蓮歌聲脆小樓西；鴛鴦自是多情甚，雨雨風風一處棲。
620	永遇樂 (彭城夜宿燕子樓，夢盼盼，因作此詞。)		宋	蘇軾	明月如霜，好風如水，清景無限。曲港跳魚，圓荷瀉露，寂寞無人見。紞如三鼓，鏗然一葉，黯黯夢雲驚斷，夜茫茫，重尋無處，覺來小園行遍。天涯倦客，山中歸路，望斷故園心眼。燕子樓空，佳人何在？空鎖樓中燕。古今如夢，何曾夢覺，但有舊歡新怨，異時對，黃樓夜景，為余浩歎。
621	下山歌		唐	宋之問	下嵩山兮多所思，攜佳人兮步遲遲；松間明月長如，此君遊兮復何時？
622	題盧五舊居		唐	李頎	物在人亡無見期，閒庭繫馬不勝悲；窗前綠竹生空地，門外青山如舊時。悵望秋天鳴墜葉，巑岏枯柳宿寒鴟；憶君淚落東流水，歲歲花開知為誰？
623	本事詩		現代	蘇曼殊	烏舍凌波肌似雪，親持紅葉索題詩；還卿一缽無情淚，恨不相逢未剃時。
624	春江花月夜 (之一) (續見之二)		唐	張若虛	春江潮水連海平，海上明月共潮生。灩灩隨波千萬里，何處春江無月明。江流宛轉繞芳甸，月照花林皆似霰。空裏流霜不覺飛，汀上白沙看不見。江天一色無纖塵，皎皎空中孤月輪。江畔何人初見月？江月何年初照人？人生代代無窮已，江月年年祇相似。不知江月待何人，但見長江送流水。白雲一片去悠悠，青楓浦上不勝愁。誰家今夜扁舟子？何處相思明月樓？可憐樓上月徘徊，應照離人妝鏡臺。玉戶簾中卷不去，擣衣帖上拂還來。此時相望不相聞，願逐月華流照君。鴻雁長飛光不度，魚龍潛躍水成文。昨夜閑潭夢落花，可憐春半不還家。
625	春江花月夜 (之二) (續之一)		唐	張若虛	江水流春去欲盡，江潭落月復西斜。斜月沈沈藏海霧，碣石瀟湘無限路。不知乘月幾人歸，落月搖情滿江樹。
626	葛履（魏風）		周		糾糾葛履，可以履霜。摻摻女手，可以縫裳。要之襋之，好人服之。好人提提，宛然左辟。佩其象揥。維是褊心，是以為刺。
627	雄雉（邶風）		周		雄雉于飛，泄泄其羽。我之懷矣，自詒伊阻。雄雉于飛，下上其音。展矣君子，實勞我心。瞻彼日月，悠悠我思。道之云遠，曷云能來？百爾君子，不知德行？不忮不求，何用不臧！
628	鶴鳴（小雅）		周		鶴鳴于九皋，聲聞于野。魚潛在淵，或在于渚。樂彼之園，爰有樹檀，其下維蘀。它山之石，可以為錯。鶴鳴于九皋，聲聞于天。魚在于渚，或潛在淵。樂彼之園，爰有樹檀，其下維榖。它山之石，可以攻玉。
629	北山（小雅）		周		陟彼北山，言採其杞。偕偕士子，朝夕從事。王事靡盬，憂我父母。溥天之下，莫非王土；率土之濱，莫非王臣。大夫不均，我從事獨賢。四牡彭彭，王事傍傍。嘉我未老，鮮我方將，旅力方剛，經營四方。或燕燕居息，或盡瘁事國；或息偃在床，或不已於行；或不知叫號，或慘慘劬勞；或棲遲偃仰，或王事鞅掌；或湛樂飲酒，或慘慘畏咎；或出入風議，或靡事不為。
630	四月（小雅）		周		四月維夏，六月徂暑。先祖匪人？胡寧忍予？秋日淒淒，百卉具腓。亂離瘼矣，爰其適歸？冬日烈烈，飄風發發。民莫不穀，我獨何害？山有嘉卉，侯栗侯梅。廢為殘賊，莫知其尤。相彼泉水，載清載濁。我日構禍，曷云能穀？滔滔江漢，南國之紀。盡瘁以仕，寧莫我有。匪鶉匪鳶，翰飛戾天；匪鱣匪鮪，潛逃于淵。山有蕨薇，隰有杞桋。君子作歌，維以告哀。
631	青蠅（小雅）		周		營營青蠅，止于樊。豈弟君子，無信讒言。營營青蠅，止于棘。讒人罔極，交亂四國。營營青蠅，止于榛。讒人罔極，構我二人。
632	燕燕（邶風）		周		燕燕于飛，差池其羽。之子于歸，遠送于野。瞻望弗及，泣涕如雨。燕燕于飛，頡之頏之。之子于歸，遠于將之。瞻望弗及，佇立以泣。燕燕于飛，上下其音。之子于歸，遠送于南。瞻望弗及，實勞我心。仲氏任只，其心塞淵。終溫且惠，淑慎其身。先君之思，以勗寡人。
633	擊鼓（邶風）		周		擊鼓其鏜，踴躍用兵。土國城漕，我獨南行！從孫子仲，平陳與宋；不我以歸，憂心有忡！爰居？爰處？爰喪其馬？于以求之？于林之下。死生契闊，與子成說，執子之手：與子偕老。于嗟闊兮，不我活兮！于嗟洵兮，不我信兮！
634	魚麗（小雅）		周		魚麗于罶，鱨鯊。君子有酒，旨且多。魚麗于罶，魴鱧。君子有酒，多且旨。魚麗于罶，鰋鯉。君子有酒，旨且有。物其多矣，維其嘉矣。物其旨矣，維其偕矣。物其有矣，維其時矣。
635	白駒（小雅）		周		皎皎白駒，食我場苗。縶之維之，以永今朝。所謂伊人，於焉逍遙。皎皎白駒，食我場藿。縶之維之，以永今夕。所謂伊人，於焉嘉客。皎皎白駒，賁然來思。爾公爾侯，逸豫無期。慎爾優游，勉爾遁思。皎皎白駒，在彼空容。生芻一束，其人如玉。毋金玉爾音，而有遐心。
636	無將大車（小雅）		周		無將大車，祇自塵兮！無思百憂，祇自底兮！無將大車，維塵冥冥！無思百憂，不出于熲！無將大車，維塵雝兮！無思百憂，衹自重兮！
637	載芟（周頌）		周		載芟載柞，其耕澤澤。千耦其耘，徂隰徂畛。侯主侯伯，侯亞侯旅，侯彊侯以。有嗿其饁，思媚其婦，有依其土。有略其耜，俶載南畝，播厥百穀，實函斯活。驛驛其達，有厭其傑。厭厭其苗，綿綿其麃。載穫濟濟，有實其積，萬億及秭。為酒為醴，烝畀祖妣，以洽百禮。有飶其香，邦家之光。有椒其馨，胡考之寧。匪且有且，匪今斯今，振古如茲。
638	良耜		周		畟畟良耜，俶載南畝，播厥百穀，實函斯活。或來瞻女，載筐及筥，其饟伊黍。其笠伊糾，其鎛斯趙，以媷荼蓼。荼蓼朽止，黍稷茂止。穫之挃挃，積之栗栗。其崇如墉，其比如櫛，以開百室。百室盈止，婦子寧止。殺時犉牡，有捄其角。以似以續，續古之人。
639	絲衣（周頌）		周		絲衣其紑，載弁俅俅。自堂徂基，自羊徂牛。鼐鼎及鼒。兕觥其觩，旨酒思柔。不吳不敖，胡考之休。
640	車舝（小雅甫田）		周		間關車之舝兮，思孌季女逝兮。匪飢匪渴，德音來括。雖無好友，式燕且喜。依彼平林，有集維鷮。辰彼碩女，令德來教。式燕且譽，好爾無射。雖無旨酒，式飲庶幾。雖無嘉殽，式食庶幾。雖無德與女，式歌且舞。陟彼高岡，析其柞薪。析其柞薪，其葉湑兮。鮮我覯爾，我心寫兮。高山仰止，景行行止。四牡騑騑，六轡如琴。覯爾新婚，以慰我心。
641	詠史		唐	高適	尚有綈袍贈，應憐范叔寒。不知天下士，猶作布衣看。
642	秋日		唐	耿湋	返照入閭巷，憂來誰共語？古道少人行，秋風動禾黍。
643	秋日湖上		唐	薛瑩	落日五湖遊，煙波處處愁。浮沉千古事，誰與問東流！
644	答武陵太守		唐	王昌齡	仗劍行千里，微軀敢一言。曾為大梁客，不負信陵恩。
645	江行望匡廬		唐	錢起	咫尺愁風雨，匡廬不可登。祇疑雲霧窟，猶有六朝僧。
646	贈喬侍郎		唐	陳子昂	漢廷榮巧宦，雲閣薄邊功。可憐驄馬使，白首為誰雄？
647	易水送別		唐	駱賓王	此地別燕丹，壯士髮衝冠。昔時人已沒，今日水猶寒。
648	別盧秦卿		唐	司空曙	知有前期在，難分此夜中。無將故人酒，不及石尤風。
649	答人		唐	太上隱者	偶來松樹下，高枕石頭眠。山中無曆日，寒盡不知年。
650	題義公禪房		唐	孟浩然	義公習禪寂，結宇依空林。戶外一峰秀，階前眾壑深。夕陽連雨足，空翠落庭陰。看取連花淨，方知不染心。
651	春日		宋	朱熹	勝日尋芳泗水濱，無邊光景一時新。等閒識得東風面，萬紫千紅總是春。
652	城東早春		唐	楊巨源	詩家清景在新春，綠柳纔黃半未勻。若待上林花似錦，出門俱是看花人。
653	春夜		宋	王安石	金爐香盡漏聲殘，剪剪輕風陣陣寒。春色惱人眠不得，月移花影上欄杆。
654	元日		宋	王安石	爆竹聲中一歲除，春風送暖入屠蘇。千門萬戶曈曈日，總把新桃換舊符。
655	江南春		唐	杜牧	千里鶯啼綠映紅，水村山郭酒旗風。南朝四百八十寺，多少樓臺煙雨中。
656	絕句		唐	僧志南	古木陰中繫短篷，杖藜扶我過橋東。沾衣欲濕杏花雨，吹面不寒楊柳風。
